System	Subsystem	Min_mandatory	Minimum_genes	Mandatory	Accessory	Forbidden	Neutral
Abi2	Abi2	1	1	Abi2__Abi_2			
AbiB	AbiB	1	1	AbiB__AbiB			
AbiC	AbiC	1	1	AbiC__AbiC			
AbiD	AbiD	1	1	AbiD__AbiD			
AbiE	AbiE	2	2	AbiEii__AbiEi_1, AbiEii__AbiEii			
AbiG	AbiG	2	2	AbiG__AbiGi, AbiG__AbiGii			
AbiH	AbiH	1	1	AbiH__AbiH			
AbiI	AbiI	1	1	AbiI__AbiI			
AbiJ	AbiJ	1	1	AbiJ__AbiJ			
AbiL	AbiL	2	2	AbiL__AbiLi, AbiL__AbiLii			
AbiN	AbiN	1	1	AbiN__AbiN			
AbiO	AbiO	1	1	AbiO__AbiO			
AbiQ	AbiQ	1	1	AbiQ__AbiQ			
AbiR	AbiR	3	3	AbiR__AbiRa, AbiR__AbiRb, AbiR__AbiRc			
AbiT	AbiT	2	2	AbiT__AbiTi, AbiT__AbiTii			
AbiU	AbiU	1	1	AbiU__AbiU			
AbiV	AbiV	1	1	AbiV__AbiV			
AbiZ	AbiZ	1	1	AbiZ__AbiZ			
BstA	BstA	1	1	BstA__BstA			
CARD_NLR	CARD_NLR_Endonuclease	1	3	CARD_NLR__Endonuclease	CARD_NLR__CARD_Protease, CARD_NLR__NLR_new, CARD_NLR__Trypsin	CARD_NLR__Phospho, CARD_NLR__Phospho_Trypsin, CARD_NLR__Subtilase, CARD_NLR__Subtilase_long_new, CARD_NLR__Subtilase_small_new, CARD_NLR__Trypsin_Phospho, GasderMIN__bGSDM	
CARD_NLR	CARD_NLR_GasderMIN	1	3	GasderMIN__bGSDM	CARD_NLR__CARD_Protease, CARD_NLR__NLR_new, CARD_NLR__Trypsin	CARD_NLR__Endonuclease, CARD_NLR__Endonuclease_new, CARD_NLR__Phospho, CARD_NLR__Phospho_Trypsin, CARD_NLR__Subtilase, CARD_NLR__Subtilase_long_new, CARD_NLR__Subtilase_small_new, CARD_NLR__Trypsin_Phospho, CARD_NLR__Trypsine_Endonuclease_new	
CARD_NLR	CARD_NLR_Phospho	1	3	CARD_NLR__Trypsin_Phospho	CARD_NLR__CARD_Protease, CARD_NLR__NLR_new, CARD_NLR__Trypsin	CARD_NLR__Endonuclease, CARD_NLR__Endonuclease_new, CARD_NLR__Subtilase, CARD_NLR__Subtilase_long_new, CARD_NLR__Subtilase_small_new, CARD_NLR__Trypsine_Endonuclease_new, GasderMIN__bGSDM	
CARD_NLR	CARD_NLR_Subtilase	1	3	CARD_NLR__Subtilase_long_new	CARD_NLR__CARD_Protease, CARD_NLR__NLR_new, CARD_NLR__Trypsin	CARD_NLR__Endonuclease, CARD_NLR__Endonuclease_new, CARD_NLR__Phospho, CARD_NLR__Phospho_Trypsin, CARD_NLR__Trypsin_Phospho, CARD_NLR__Trypsine_Endonuclease_new, GasderMIN__bGSDM	
CARD_NLR	CARD_NLR_like	2	4	CARD_NLR__Endonuclease, CARD_NLR__Phospho_Trypsin, CARD_NLR__Subtilase_long_new, CARD_NLR__Trypsin_Phospho	CARD_NLR__CARD_Protease, CARD_NLR__NLR_new, CARD_NLR__Trypsin		
DISARM	DISARM_1	4	4	DISARM_1__drmD, DISARM_1__drmMI, DISARM__drmA, DISARM__drmB, DISARM__drmC			
DISARM	DISARM_2	4	4	DISARM_2__drmE, DISARM_2__drmMII, DISARM__drmA, DISARM__drmB, DISARM__drmC			
GAPS4	GAPS4	2	2	GAPS4__GAPS4a, GAPS4__GAPS4b			
Gabija	Gabija	2	2	Gabija__GajA, Gabija__GajB_1			
Gao_Ape	Gao_Ape	1	1	Gao_Ape__ApeA			
Gao_Hhe	Gao_Hhe	1	1	Gao_Hhe__HheA			
Gao_Iet	Gao_Iet	2	2	Gao_Iet__IetA, Gao_Iet__IetS			
Gao_Mza	Gao_Mza	5	5	Gao_Mza__MzaA, Gao_Mza__MzaB, Gao_Mza__MzaC, Gao_Mza__MzaD, Gao_Mza__MzaE			
Gao_Ppl	Gao_Ppl	1	1	Gao_Ppl__PplA			
Gao_TerY	Gao_TerY	3	3	Gao_TerY__TerYA, Gao_TerY__TerYB, Gao_TerY__TerYC			
Gao_Tmn	Gao_Tmn	1	1	Gao_Tmn__TmnA			
Gao_Upx	Gao_Upx	1	1	Gao_Upx__UpxA			
GasderMIN	GasderMIN	1	1	GasderMIN__bGSDM			
Kiwa	Kiwa	2	2	Kiwa__KwaA, Kiwa__KwaB			
Lamassu-Fam	Lamassu-Amidase	2	2	Lamassu-Fam__LmuA_effector_Amidase, Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	Lamassu-Fam__LmuC_acc_Lipase	Lamassu-Fam__LmuA_effector_Cap4_nuclease, Lamassu-Fam__LmuA_effector_Cap4_nuclease_II, Lamassu-Fam__LmuA_effector_FMO, Lamassu-Fam__LmuA_effector_Hydrolase, Lamassu-Fam__LmuA_effector_Lipase, Lamassu-Fam__LmuA_effector_Mrr, Lamassu-Fam__LmuA_effector_PDDEXK, Lamassu-Fam__LmuA_effector_Protease, Lamassu-Fam__LmuA_effector_Sir2, Lamassu-Fam__LmuA_effector_hypothetical	
Lamassu-Fam	Lamassu-Cap4_nuclease	2	2	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II, Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	Lamassu-Fam__LmuC_acc_Lipase	Lamassu-Fam__LmuA_effector_Amidase, Lamassu-Fam__LmuA_effector_FMO, Lamassu-Fam__LmuA_effector_Hydrolase, Lamassu-Fam__LmuA_effector_Lipase, Lamassu-Fam__LmuA_effector_Mrr, Lamassu-Fam__LmuA_effector_PDDEXK, Lamassu-Fam__LmuA_effector_Protease, Lamassu-Fam__LmuA_effector_Sir2, Lamassu-Fam__LmuA_effector_hypothetical	
Lamassu-Fam	Lamassu-FMO	2	2	Lamassu-Fam__LmuA_effector_FMO, Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	Lamassu-Fam__LmuC_acc_Lipase	Lamassu-Fam__LmuA_effector_Amidase, Lamassu-Fam__LmuA_effector_Cap4_nuclease, Lamassu-Fam__LmuA_effector_Cap4_nuclease_II, Lamassu-Fam__LmuA_effector_Hydrolase, Lamassu-Fam__LmuA_effector_Lipase, Lamassu-Fam__LmuA_effector_Mrr, Lamassu-Fam__LmuA_effector_PDDEXK, Lamassu-Fam__LmuA_effector_Protease, Lamassu-Fam__LmuA_effector_Sir2, Lamassu-Fam__LmuA_effector_hypothetical	
Lamassu-Fam	Lamassu-Fam	1	3	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	Lamassu-Fam__LmuA_effector_Amidase, Lamassu-Fam__LmuA_effector_Cap4_nuclease, Lamassu-Fam__LmuA_effector_Cap4_nuclease_II, Lamassu-Fam__LmuA_effector_FMO, Lamassu-Fam__LmuA_effector_Hydrolase, Lamassu-Fam__LmuA_effector_Lipase, Lamassu-Fam__LmuA_effector_Mrr, Lamassu-Fam__LmuA_effector_PDDEXK, Lamassu-Fam__LmuA_effector_Protease, Lamassu-Fam__LmuA_effector_Sir2, Lamassu-Fam__LmuA_effector_hypothetical		Lamassu-Fam__LmuC_acc_Lipase
Lamassu-Fam	Lamassu-Hydrolase	2	2	Lamassu-Fam__LmuA_effector_Hydrolase, Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	Lamassu-Fam__LmuC_acc_Lipase	Lamassu-Fam__LmuA_effector_Amidase, Lamassu-Fam__LmuA_effector_Cap4_nuclease, Lamassu-Fam__LmuA_effector_Cap4_nuclease_II, Lamassu-Fam__LmuA_effector_FMO, Lamassu-Fam__LmuA_effector_Lipase, Lamassu-Fam__LmuA_effector_Mrr, Lamassu-Fam__LmuA_effector_PDDEXK, Lamassu-Fam__LmuA_effector_Protease, Lamassu-Fam__LmuA_effector_Sir2, Lamassu-Fam__LmuA_effector_hypothetical	
Lamassu-Fam	Lamassu-Hydrolase_Protease	3	3	Lamassu-Fam__LmuA_effector_Hydrolase, Lamassu-Fam__LmuA_effector_Protease, Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	Lamassu-Fam__LmuC_acc_Lipase	Lamassu-Fam__LmuA_effector_Amidase, Lamassu-Fam__LmuA_effector_Cap4_nuclease, Lamassu-Fam__LmuA_effector_Cap4_nuclease_II, Lamassu-Fam__LmuA_effector_FMO, Lamassu-Fam__LmuA_effector_Lipase, Lamassu-Fam__LmuA_effector_Mrr, Lamassu-Fam__LmuA_effector_PDDEXK, Lamassu-Fam__LmuA_effector_Sir2, Lamassu-Fam__LmuA_effector_hypothetical	
