System	v2.0.0	Status_v2.0.0	Comment_v2.0.0	Status_v1.2.4	Comment_v1.2.4	v1.0.0	v1.2.3	v1.2.4	Status_v1.2.3	Comment_v1.2.3
6A_MBL	1	New				0	0	0		
Abi2	1	From version v1.2.3	no changes	From version v1.2.3	no changes	1	1	1	From	version
AbiA	1	Modified	All UG group	From version v1.2.3	no changes	0	1	1	New	Previously
AbiAlpha	1	New				0	0	0		
AbiB	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	Previously
AbiC	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	Previously
AbiD	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	Previously
AbiE	1	From version v1.2.3	no changes	From version v1.2.3	no changes	1	1	1	Modified	Rename
AbiG	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	Previously
AbiH	1	From version v1.2.3	no changes	From version v1.2.3	no changes	1	1	1	From	version
AbiI	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	Previously
AbiJ	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	Previously
AbiK	1	Modified	All UG group	From version v1.2.3	no changes	0	1	1	New	Previously
AbiL	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	Previously
AbiN	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	Previously
AbiO	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	Previously
AbiP2	1	Modified	All UG group	From version v1.2.3	no changes	0	1	1	New	Previously
AbiQ	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	Previously
AbiR	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	Previously
AbiT	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	Previously
AbiU	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	Previously
AbiV	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	Previously
AbiZ	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	Previously
Aditi	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	
All_UG	1	New				0	0	0		
AspAB	1	New				0	0	0		
Avs	1	From version v1.2.3	no changes	From version v1.2.3	no changes	1	1	1	Modified	Renamed
Azaca	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	
Belenos	1	New				0	0	0		
Belisama	1	New				0	0	0		
Borvo	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	
BREX	1	Modified	New profiles	From version v1.2.3	no changes	1	1	1	Modified	Subsystem
Brig1	1	New				0	0	0		
Brigantia	1	New				0	0	0		
BstA	1	From version v1.2.3	no changes	From version v1.2.3	no changes	1	1	1	From	version
Bunzi	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	
Butters_gp30_gp31	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	Previously
Butters_gp57r	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	
CapRel	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	
CARD_NLR	1	Modified	profile CARD_NLR__Subtilase_long_new removed, 2 subtilase profile remain.	Modified	profile CARD_NLR__Subtilase_long_new removed, 2 subtilase profile remain.	0	1	1	New	
Cas	1	From version v1.2.3	no changes	From version v1.2.3	no changes	1	1	1	Modified	Now
CBASS	1	From version v1.2.3	no changes	From version v1.2.3	no changes	1	1	1	From	version
Ceres	1	New				0	0	0		
Cernunnos	1	New				0	0	0		
Charlie_gp32	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	Previously
CoCoNut	1	New				0	0	0		
Damona	1	New				0	0	0		
DarTG	1	From version v1.2.3	no changes	From version v1.2.3	no changes	1	1	1	From	version
Dazbog	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	
dCTPdeaminase	1	From version v1.2.3	no changes	From version v1.2.3	no changes	1	1	1	From	version
DdmDE	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	
Detocs	1	From version v1.2.3	no changes	From version v1.2.3	no changes	0	1	1	New	
dGTPase	1	From version v1.2.3	no changes	From version v1.2.3	no changes	1	1	1	From	version
DISARM	1	From version v1.2.3	no changes	From version v1.2.3	no changes	1	1	1	From	version
Divona	1	New				0	0	0		
